Term,Definition,Units,OBO_term,displayed_term,Aliases
1-Amino-1-ortho-chlorophenyl-2-2-quinoxalinylethene_CAS,,,,,
1-Amino-1-ortho-chlorophenyl-2-2-quinoxalinylethene_RT_min,,,,,
1-Amino-1-ortho-chlorophenyl-2-2-quinoxalinylethene_match_factor,,,,,
1-Amino-1-ortho-chlorophenyl-2-2-quinoxalinylethene_area,,,,,
Acetic_acid_2-ethylhexyl_ester_CAS,,,,,
Acetic_acid_2-ethylhexyl_ester_RT_min,,,,,
Acetic_acid_2-ethylhexyl_ester_match_factor,,,,,
Acetic_acid_2-ethylhexyl_ester_area,,,,,
N-DECANAL_CAS,,,,,
N-DECANAL_RT_min,,,,,
N-DECANAL_match_factor,,,,,
N-DECANAL_area,,,,,
Bicyclo311hept-3-en-2-one_466-trimethyl-_CAS,,,,,
Bicyclo311hept-3-en-2-one_466-trimethyl-_RT_min,,,,,
Bicyclo311hept-3-en-2-one_466-trimethyl-_match_factor,,,,,
Bicyclo311hept-3-en-2-one_466-trimethyl-_area,,,,,
26-Dichlorostyrene_CAS,,,,,
26-Dichlorostyrene_RT_min,,,,,
26-Dichlorostyrene_match_factor,,,,,
26-Dichlorostyrene_area,,,,,
Benzothiazole_CAS,,,,,
Benzothiazole_RT_min,,,,,
Benzothiazole_match_factor,,,,,
Benzothiazole_area,,,,,
Cyclohexane_11-1-22-dimethylbutyl-13-propanediylbis-_CAS,,,,,
Cyclohexane_11-1-22-dimethylbutyl-13-propanediylbis-_RT_min,,,,,
Cyclohexane_11-1-22-dimethylbutyl-13-propanediylbis-_match_factor,,,,,
Cyclohexane_11-1-22-dimethylbutyl-13-propanediylbis-_area,,,,,
Benzaldehyde_26-dichloro-_CAS,,,,,
Benzaldehyde_26-dichloro-_RT_min,,,,,
Benzaldehyde_26-dichloro-_match_factor,,,,,
Benzaldehyde_26-dichloro-_area,,,,,
2H-Azepin-2-one_hexahydro-_CAS,,,,,
2H-Azepin-2-one_hexahydro-_RT_min,,,,,
2H-Azepin-2-one_hexahydro-_match_factor,,,,,
2H-Azepin-2-one_hexahydro-_area,,,,,
4H-3-anilino-1-benzothiopyran-4-one_1-oxide_CAS,,,,,
4H-3-anilino-1-benzothiopyran-4-one_1-oxide_RT_min,,,,,
4H-3-anilino-1-benzothiopyran-4-one_1-oxide_match_factor,,,,,
4H-3-anilino-1-benzothiopyran-4-one_1-oxide_area,,,,,
beta-Cubebene_CAS,,,,,
beta-Cubebene_RT_min,,,,,
beta-Cubebene_match_factor,,,,,
beta-Cubebene_area,,,,,
EE-ALPHA-FARNESENE_CAS,,,,,
EE-ALPHA-FARNESENE_RT_min,,,,,
EE-ALPHA-FARNESENE_match_factor,,,,,
EE-ALPHA-FARNESENE_area,,,,,
1H-Inden-1-one_23-dihydro-3345-tetramethyl-_CAS,,,,,
1H-Inden-1-one_23-dihydro-3345-tetramethyl-_RT_min,,,,,
1H-Inden-1-one_23-dihydro-3345-tetramethyl-_match_factor,,,,,
1H-Inden-1-one_23-dihydro-3345-tetramethyl-_area,,,,,
12-Benzenedicarboxylic_acid_butyl_8-methylnonyl_ester_CAS,,,,,
12-Benzenedicarboxylic_acid_butyl_8-methylnonyl_ester_RT_min,,,,,
12-Benzenedicarboxylic_acid_butyl_8-methylnonyl_ester_match_factor,,,,,
12-Benzenedicarboxylic_acid_butyl_8-methylnonyl_ester_area,,,,,
,,,,,
,,,,,
collection_protocol,,,,,
location_host,,,,,
location_tree_ID,,,,,
location_grid,,,,,
location_height_level,,,,,
replicate_ID,,,,,
collection_length_of_plastic_enclosure_in_days,,,,,
collection_treatment,,,,,
sample_number_on_tag,,,,,
sampler_size,,,,,
sample_code,,,,,
sun_exposure,,,,,
location_height_from_ground_in_m,,,,,
location_closest_space_frame_level_from_0_to_18,,,,,
leaf_condition_day_1-note_any_spots_or_damage,,,,,
leaf_age,,,,,
collection_date-time_enclosure_placed,,,,,
collection_date_enclosure_placed,,,,,
collection_time_placed,,,,,
leaf_condition_day_of_collection-note_any_spots_or_damage,,,,,
collection_date-time,,,,,
collection_date,,,,,
collection_time,,,,,
notes,,,,,
leaf_sample_ss_date,,,,,
leaf_sample_grinding_date,,,,,
